"customer_id";"customer_name";"customer_segment";"city";"state";"join_date";"join_date_clean";"rn";"missing_city_flag";"city_clean"
"C00020";"Anita Mishra";"Wholesale";"Nagpur";"Maharashtra";"2023-12-20";"2023-12-20";1;"No";"Nagpur"
"C00021";"Kavya Das";"Wholesale";"Pune";"Maharashtra";"2022-08-17";"2022-08-17";1;"No";"Pune"
"C00022";"Leela Mehta";"Retail";"Jaipur";"Rajasthan";"2021-11-06";"2021-11-06";1;"No";"Jaipur"
"C00023";"Kavya Menon";"Wholesale";"Mumbai";"Maharashtra";"2019-03-08";"2019-03-08";1;"No";"Mumbai"
"C00024";"Kiran Gupta";"Wholesale";"Mumbai";"Maharashtra";"2022-07-13";"2022-07-13";1;"No";"Mumbai"
"C00025";"Ravi Reddy";"Corporate";"Ahmedabad";"Gujarat";"2020-01-22";"2020-01-22";1;"No";"Ahmedabad"
"C00026";"Priya Menon";"Retail";"Hyderabad";"Telangana";"2021-08-12";"2021-08-12";1;"No";"Hyderabad"
"C00027";"ARJUN NAIR";"Wholesale";"Lucknow";"Uttar Pradesh";"2022-08-22";"2022-08-22";1;"No";"Lucknow"
"C00028";"Swati Patel";"Corporate";"Bhopal";"Madhya Pradesh";"2022-05-15";"2022-05-15";1;"No";"Bhopal"
"C00029";"Priya Tiwari";"Retail";"Pune";"Maharashtra";"2023-09-03";"2023-09-03";1;"No";"Pune"
"C00030";"Sunita Mehta";"Corporate";"Mumbai";"Maharashtra";"2019-08-10";"2019-08-10";1;"No";"Mumbai"
"C00031";"DEEPA CHAUHAN";"Corporate";"Lucknow";"Uttar Pradesh";"2021-06-23";"2021-06-23";1;"No";"Lucknow"
"C00032";"Rahul Verma";"Wholesale";"Kolkata";"West Bengal";"2020-01-04";"2020-01-04";1;"No";"Kolkata"
"C00033";"Neha Pillai";"Wholesale";"Bangalore";"Karnataka";"2019-07-21";"2019-07-21";1;"No";"Bangalore"
"C00034";"Meera Iyer";"Wholesale";"Ahmedabad";"Gujarat";"2020-07-06";"2020-07-06";1;"No";"Ahmedabad"
"C00035";"swati mishra";"Wholesale";"Nagpur";"Maharashtra";"2024-11-17";"2024-11-17";1;"No";"Nagpur"
"C00036";"NEHA MEHTA";"Wholesale";"Pune";"Maharashtra";"2020-04-05";"2020-04-05";1;"No";"Pune"
"C00037";"Pooja Pillai";"Retail";"Pune";"Maharashtra";"2022-06-02";"2022-06-02";1;"No";"Pune"
"C00038";"Anita Rao";"Wholesale";"Lucknow";"Unknown";"2021-08-14";"2021-08-14";1;"No";"Lucknow"
"C00039";"vijay rao";"Corporate";"Delhi";"Unknown";"2020-08-27";"2020-08-27";1;"No";"Delhi"
"C00040";"Deepa Sharma";"Retail";"Hyderabad";"Unknown";"2021-05-06";"2021-05-06";1;"No";"Hyderabad"
"C00041";"Meera Joshi";"Corporate";"Hyderabad";"Telangana";"2020-08-01";"2020-08-01";1;"No";"Hyderabad"
"C00042";"Ravi Iyer";"Corporate";"Unknown";"Gujarat";"2022-03-09";"2022-03-09";1;"Yes";"Unknown"
"C00043";"Vijay Pandey";"Wholesale";"Nagpur";"Maharashtra";"2022-01-16";"2022-01-16";1;"No";"Nagpur"
"C00044";"KAVYA KUMAR";"Corporate";"Jaipur";"Rajasthan";"2020-02-12";"2020-02-12";1;"No";"Jaipur"
"C00045";"Suresh Bhat";"Corporate";"Delhi";"Delhi";"2024-02-19";"2024-02-19";1;"No";"Delhi"
"C00046";"MEERA SHARMA";"Corporate";"Hyderabad";"Telangana";"2020-10-05";"2020-10-05";1;"No";"Hyderabad"
"C00047";"Ravi Rao";"Wholesale";"Nagpur";"Maharashtra";"2024-08-15";"2024-08-15";1;"No";"Nagpur"
"C00048";"Arjun Verma";"Wholesale";"Mumbai";"Maharashtra";"2021-07-12";"2021-07-12";1;"No";"Mumbai"
"C00049";"Rahul Das";"Corporate";"Bangalore";"Karnataka";"2021-07-20";"2021-07-20";1;"No";"Bangalore"
"C00050";"Pooja Mehta";"Wholesale";"Hyderabad";"Telangana";"2020-06-23";"2020-06-23";1;"No";"Hyderabad"
"C00051";"Vijay Gupta";"Corporate";"Chennai";"Tamil Nadu";"2024-11-15";"2024-11-15";1;"No";"Chennai"
"C00052";"Rahul Pillai";"Retail";"Nagpur";"Maharashtra";"2022-07-24";"2022-07-24";1;"No";"Nagpur"
"C00053";"Amit Mishra";"Corporate";"Delhi";"Delhi";"2020-08-19";"2020-08-19";1;"No";"Delhi"
"C00054";"Ravi Das";"Wholesale";"Jaipur";"Rajasthan";"2022-01-26";"2022-01-26";1;"No";"Jaipur"
"C00055";"rahul joshi";"Retail";"Mumbai";"Maharashtra";"2021-12-29";"2021-12-29";1;"No";"Mumbai"
"C00056";"Leela Tiwari";"Corporate";"Chennai";"Unknown";"2019-11-22";"2019-11-22";1;"No";"Chennai"
"C00057";"Swati Gupta";"Corporate";"Kolkata";"West Bengal";"2023-05-07";"2023-05-07";1;"No";"Kolkata"
"C00058";"swati bhat";"Retail";"Unknown";"Tamil Nadu";"2019-03-03";"2019-03-03";1;"Yes";"Unknown"
"C00059";"Arjun Pillai";"Corporate";"Chennai";"Tamil Nadu";"2023-12-05";"2023-12-05";1;"No";"Chennai"
"C00060";"Leela Bhat";"Wholesale";"Chennai";"Tamil Nadu";"2023-04-08";"2023-04-08";1;"No";"Chennai"
"C00061";"Suresh Iyer";"Corporate";"Lucknow";"Uttar Pradesh";"2019-06-07";"2019-06-07";1;"No";"Lucknow"
"C00062";"Kiran Kumar";"Retail";"Chennai";"Tamil Nadu";"2019-06-10";"2019-06-10";1;"No";"Chennai"
"C00063";"Meera Iyer";"Corporate";"Mumbai";"Maharashtra";"2022-06-01";"2022-06-01";1;"No";"Mumbai"
"C00064";"deepa menon";"Wholesale";"Lucknow";"Uttar Pradesh";"2020-08-05";"2020-08-05";1;"No";"Lucknow"
"C00065";"NITIN MENON";"Corporate";"Delhi";"Delhi";"2020-07-08";"2020-07-08";1;"No";"Delhi"
"C00066";"Manoj Pillai";"Retail";"Bangalore";"Karnataka";"2021-04-07";"2021-04-07";1;"No";"Bangalore"
"C00067";"Nitin Singh";"Corporate";"Nagpur";"Maharashtra";"2020-05-21";"2020-05-21";1;"No";"Nagpur"
"C00068";"Amit Kumar";"Corporate";"Pune";"Maharashtra";"2024-09-26";"2024-09-26";1;"No";"Pune"
"C00069";"Leela Patel";"Wholesale";"Mumbai";"Maharashtra";"2020-09-06";"2020-09-06";1;"No";"Mumbai"
"C00070";"anita gupta";"Corporate";"Mumbai";"Maharashtra";"2024-01-02";"2024-01-02";1;"No";"Mumbai"
"C00071";"deepa patel";"Retail";"Unknown";"Tamil Nadu";"2019-02-20";"2019-02-20";1;"Yes";"Unknown"
"C00072";"Nitin Bhat";"Corporate";"Mumbai";"Maharashtra";"2021-06-07";"2021-06-07";1;"No";"Mumbai"
"C00073";"Arun Bhat";"Wholesale";"Delhi";"Unknown";"2022-02-13";"2022-02-13";1;"No";"Delhi"
"C00074";"Leela Mishra";"Retail";"Mumbai";"Unknown";"2022-11-30";"2022-11-30";1;"No";"Mumbai"
"C00075";"Priya Gupta";"Corporate";"Lucknow";"Uttar Pradesh";"2019-12-26";"2019-12-26";1;"No";"Lucknow"
"C00076";"Priya Kumar";"Retail";"Bangalore";"Karnataka";"2020-12-27";"2020-12-27";1;"No";"Bangalore"
"C00077";"Nitin Tiwari";"Retail";"Delhi";"Delhi";"2023-04-02";"2023-04-02";1;"No";"Delhi"
"C00078";"Amit Pillai";"Retail";"Hyderabad";"Telangana";"2022-01-29";"2022-01-29";1;"No";"Hyderabad"
"C00079";"Suresh Chauhan";"Retail";"Bhopal";"Unknown";"2024-12-06";"2024-12-06";1;"No";"Bhopal"
"C00080";"Amit Bhat";"Corporate";"Bhopal";"Madhya Pradesh";"2022-07-20";"2022-07-20";1;"No";"Bhopal"
"C00081";"Arjun Chauhan";"Corporate";"Pune";"Maharashtra";"2024-07-26";"2024-07-26";1;"No";"Pune"
"C00082";"Kiran Bhat";"Retail";"Lucknow";"Uttar Pradesh";"2021-03-03";"2021-03-03";1;"No";"Lucknow"
"C00083";"RAVI KUMAR";"Corporate";"Delhi";"Delhi";"2023-08-26";"2023-08-26";1;"No";"Delhi"
"C00084";"Pooja Verma";"Corporate";"Nagpur";"Maharashtra";"2022-02-27";"2022-02-27";1;"No";"Nagpur"
"C00085";"Arjun Singh";"Corporate";"Ahmedabad";"Unknown";"2022-09-27";"2022-09-27";1;"No";"Ahmedabad"
"C00086";"Suresh Iyer";"Corporate";"Mumbai";"Maharashtra";"2022-10-16";"2022-10-16";1;"No";"Mumbai"
"C00087";"Swati Bhat";"Corporate";"Bangalore";"Karnataka";"2022-10-04";"2022-10-04";1;"No";"Bangalore"
"C00088";"Nitin Pillai";"Retail";"Ahmedabad";"Gujarat";"2022-07-16";"2022-07-16";1;"No";"Ahmedabad"
"C00089";"MEERA MISHRA";"Corporate";"Nagpur";"Maharashtra";"2022-12-19";"2022-12-19";1;"No";"Nagpur"
"C00090";"Amit Gupta";"Retail";"Pune";"Maharashtra";"2020-11-10";"2020-11-10";1;"No";"Pune"
"C00091";"Arun Pandey";"Corporate";"Delhi";"Delhi";"2022-07-12";"2022-07-12";1;"No";"Delhi"
"C00092";"Priya Reddy";"Wholesale";"Chennai";"Tamil Nadu";"2022-05-24";"2022-05-24";1;"No";"Chennai"
"C00093";"Vijay Chauhan";"Retail";"Pune";"Maharashtra";"2020-01-15";"2020-01-15";1;"No";"Pune"
"C00094";"NITIN CHAUHAN";"Wholesale";"Ahmedabad";"Gujarat";"2024-06-03";"2024-06-03";1;"No";"Ahmedabad"
"C00095";"Kiran Nair";"Retail";"Delhi";"Delhi";"2020-06-27";"2020-06-27";1;"No";"Delhi"
"C00096";"Vijay Verma";"Corporate";"Ahmedabad";"Gujarat";"2019-06-30";"2019-06-30";1;"No";"Ahmedabad"
"C00097";"Leela Singh";"Retail";"Delhi";"Delhi";"2022-07-03";"2022-07-03";1;"No";"Delhi"
"C00098";"Ravi Tiwari";"Corporate";"Chennai";"Tamil Nadu";"2022-02-07";"2022-02-07";1;"No";"Chennai"
"C00099";"Meera Das";"Corporate";"Delhi";"Delhi";"2020-04-13";"2020-04-13";1;"No";"Delhi"
"C00100";"Ravi Pandey";"Retail";"Chennai";"Tamil Nadu";"2022-01-15";"2022-01-15";1;"No";"Chennai"
"C00101";"Rahul Nair";"Retail";"Delhi";"Delhi";"2023-12-23";"2023-12-23";1;"No";"Delhi"
"C00102";"PRIYA GUPTA";"Corporate";"Mumbai";"Unknown";"2023-10-13";"2023-10-13";1;"No";"Mumbai"
"C00103";"Manoj Patel";"Corporate";"Nagpur";"Maharashtra";"2022-12-27";"2022-12-27";1;"No";"Nagpur"
"C00104";"Deepa Das";"Corporate";"Nagpur";"Maharashtra";"2024-03-22";"2024-03-22";1;"No";"Nagpur"
"C00105";"ARUN GUPTA";"Corporate";"Kolkata";"West Bengal";"2024-03-21";"2024-03-21";1;"No";"Kolkata"
"C00106";"Swati Mehta";"Retail";"Lucknow";"Uttar Pradesh";"2021-01-21";"2021-01-21";1;"No";"Lucknow"
"C00107";"Suresh Das";"Retail";"Delhi";"Delhi";"2024-03-04";"2024-03-04";1;"No";"Delhi"
"C00108";"Anita Nair";"Corporate";"Lucknow";"Uttar Pradesh";"2020-03-14";"2020-03-14";1;"No";"Lucknow"
"C00109";"Suresh Mishra";"Wholesale";"Ahmedabad";"Gujarat";"2021-09-04";"2021-09-04";1;"No";"Ahmedabad"
"C00110";"Leela Mehta";"Wholesale";"Unknown";"Rajasthan";"2023-11-01";"2023-11-01";1;"Yes";"Unknown"
"C00111";"Pooja Tiwari";"Corporate";"Bhopal";"Madhya Pradesh";"2019-11-16";"2019-11-16";1;"No";"Bhopal"
"C00112";"arun bhat";"Corporate";"Kolkata";"West Bengal";"2023-12-29";"2023-12-29";1;"No";"Kolkata"
"C00113";"Anita Nair";"Retail";"Lucknow";"Uttar Pradesh";"2023-04-02";"2023-04-02";1;"No";"Lucknow"
"C00114";"Suresh Bhat";"Retail";"Delhi";"Delhi";"2019-01-01";"2019-01-01";1;"No";"Delhi"
"C00115";"Rahul Gupta";"Wholesale";"Jaipur";"Rajasthan";"2021-04-22";"2021-04-22";1;"No";"Jaipur"
"C00116";"Suresh Nair";"Corporate";"Hyderabad";"Telangana";"2022-11-11";"2022-11-11";1;"No";"Hyderabad"
"C00117";"AMIT TIWARI";"Corporate";"Jaipur";"Rajasthan";"2019-09-13";"2019-09-13";1;"No";"Jaipur"
"C00118";"Kavya Mishra";"Retail";"Bhopal";"Madhya Pradesh";"2020-03-25";"2020-03-25";1;"No";"Bhopal"
"C00119";"Deepa Sharma";"Corporate";"Lucknow";"Uttar Pradesh";"2023-04-17";"2023-04-17";1;"No";"Lucknow"
"C00120";"Manoj Iyer";"Retail";"Nagpur";"Maharashtra";"2023-04-25";"2023-04-25";1;"No";"Nagpur"
"C00121";"kavya pillai";"Corporate";"Bangalore";"Karnataka";"2019-03-06";"2019-03-06";1;"No";"Bangalore"
"C00122";"Rahul Bhat";"Retail";"Delhi";"Delhi";"2024-02-11";"2024-02-11";1;"No";"Delhi"
"C00123";"Leela Pillai";"Wholesale";"Ahmedabad";"Gujarat";"2023-04-25";"2023-04-25";1;"No";"Ahmedabad"
"C00124";"kavya mehta";"Corporate";"Mumbai";"Maharashtra";"2021-08-27";"2021-08-27";1;"No";"Mumbai"
"C00125";"Kiran Reddy";"Corporate";"Lucknow";"Uttar Pradesh";"2024-06-02";"2024-06-02";1;"No";"Lucknow"
"C00126";"Kavya Kumar";"Corporate";"Delhi";"Delhi";"2022-02-18";"2022-02-18";1;"No";"Delhi"
"C00127";"NITIN CHAUHAN";"Corporate";"Delhi";"Delhi";"2019-11-16";"2019-11-16";1;"No";"Delhi"
"C00128";"Meera Tiwari";"Retail";"Pune";"Unknown";"2024-02-03";"2024-02-03";1;"No";"Pune"
"C00129";"Kiran Bhat";"Wholesale";"Jaipur";"Rajasthan";"2022-04-21";"2022-04-21";1;"No";"Jaipur"
"C00130";"DEEPA PATEL";"Corporate";"Bhopal";"Madhya Pradesh";"2021-12-02";"2021-12-02";1;"No";"Bhopal"
"C00131";"Priya Bhat";"Corporate";"Mumbai";"Maharashtra";"2019-04-22";"2019-04-22";1;"No";"Mumbai"
"C00132";"DEEPA BHAT";"Corporate";"Delhi";"Delhi";"2020-06-26";"2020-06-26";1;"No";"Delhi"
"C00133";"Leela Reddy";"Wholesale";"Mumbai";"Maharashtra";"2020-09-11";"2020-09-11";1;"No";"Mumbai"
"C00134";"Nitin Rao";"Wholesale";"Bhopal";"Madhya Pradesh";"2024-11-30";"2024-11-30";1;"No";"Bhopal"
"C00135";"Priya Das";"Retail";"Lucknow";"Uttar Pradesh";"2024-07-24";"2024-07-24";1;"No";"Lucknow"
"C00136";"Pooja Iyer";"Wholesale";"Bhopal";"Madhya Pradesh";"2022-11-14";"2022-11-14";1;"No";"Bhopal"
"C00137";"Priya Reddy";"Retail";"Mumbai";"Maharashtra";"2022-05-19";"2022-05-19";1;"No";"Mumbai"
"C00138";"Swati Mishra";"Corporate";"Bhopal";"Madhya Pradesh";"2024-12-12";"2024-12-12";1;"No";"Bhopal"
"C00139";"Pooja Sharma";"Wholesale";"Jaipur";"Rajasthan";"2019-06-18";"2019-06-18";1;"No";"Jaipur"
"C00140";"Sunita Mishra";"Wholesale";"Lucknow";"Uttar Pradesh";"2022-10-04";"2022-10-04";1;"No";"Lucknow"
"C00141";"Arjun Reddy";"Wholesale";"Nagpur";"Maharashtra";"2021-09-17";"2021-09-17";1;"No";"Nagpur"
"C00142";"Arun Joshi";"Corporate";"Bhopal";"Madhya Pradesh";"2019-02-13";"2019-02-13";1;"No";"Bhopal"
"C00143";"RAVI SINGH";"Retail";"Ahmedabad";"Gujarat";"2021-06-17";"2021-06-17";1;"No";"Ahmedabad"
"C00144";"deepa reddy";"Retail";"Lucknow";"Uttar Pradesh";"2021-06-07";"2021-06-07";1;"No";"Lucknow"
"C00145";"Leela Kumar";"Retail";"Delhi";"Delhi";"2021-01-26";"2021-01-26";1;"No";"Delhi"
"C00146";"Sunita Patel";"Wholesale";"Nagpur";"Maharashtra";"2022-02-06";"2022-02-06";1;"No";"Nagpur"
"C00147";"Pooja Das";"Retail";"Hyderabad";"Telangana";"2022-09-24";"2022-09-24";1;"No";"Hyderabad"
"C00148";"Priya Reddy";"Wholesale";"Bangalore";"Karnataka";"2021-04-01";"2021-04-01";1;"No";"Bangalore"
"C00149";"leela iyer";"Wholesale";"Delhi";"Delhi";"2021-06-13";"2021-06-13";1;"No";"Delhi"
"C00150";"Leela Kumar";"Corporate";"Hyderabad";"Telangana";"2021-10-23";"2021-10-23";1;"No";"Hyderabad"
"C00151";"Nitin Sharma";"Retail";"Nagpur";"Maharashtra";"2023-05-19";"2023-05-19";1;"No";"Nagpur"
"C00152";"Arjun Gupta";"Wholesale";"Unknown";"Uttar Pradesh";"2024-07-02";"2024-07-02";1;"Yes";"Unknown"
"C00153";"Swati Pillai";"Corporate";"Delhi";"Unknown";"2024-05-28";"2024-05-28";1;"No";"Delhi"
"C00154";"Sunita Tiwari";"Wholesale";"Pune";"Maharashtra";"2020-01-07";"2020-01-07";1;"No";"Pune"
"C00155";"Kavya Mishra";"Wholesale";"Delhi";"Delhi";"2022-04-02";"2022-04-02";1;"No";"Delhi"
"C00156";"Vijay Patel";"Wholesale";"Nagpur";"Maharashtra";"2020-03-13";"2020-03-13";1;"No";"Nagpur"
"C00157";"KAVYA BHAT";"Corporate";"Kolkata";"West Bengal";"2021-03-01";"2021-03-01";1;"No";"Kolkata"
"C00158";"Ravi Tiwari";"Wholesale";"Delhi";"Delhi";"2024-08-08";"2024-08-08";1;"No";"Delhi"
"C00159";"Meera Menon";"Retail";"Mumbai";"Maharashtra";"2019-06-25";"2019-06-25";1;"No";"Mumbai"
"C00160";"Manoj Kumar";"Corporate";"Nagpur";"Maharashtra";"2020-09-02";"2020-09-02";1;"No";"Nagpur"
"C00161";"Arun Mehta";"Retail";"Bhopal";"Madhya Pradesh";"2024-04-14";"2024-04-14";1;"No";"Bhopal"
"C00162";"Leela Verma";"Corporate";"Unknown";"Karnataka";"2022-06-12";"2022-06-12";1;"Yes";"Unknown"
"C00163";"Sunita Menon";"Corporate";"Delhi";"Delhi";"2024-07-29";"2024-07-29";1;"No";"Delhi"
"C00164";"Leela Pandey";"Retail";"Jaipur";"Rajasthan";"2023-07-05";"2023-07-05";1;"No";"Jaipur"
"C00165";"Suresh Kumar";"Corporate";"Ahmedabad";"Gujarat";"2021-05-23";"2021-05-23";1;"No";"Ahmedabad"
"C00166";"priya tiwari";"Retail";"Delhi";"Delhi";"2020-11-19";"2020-11-19";1;"No";"Delhi"
"C00167";"kavya mishra";"Retail";"Unknown";"Uttar Pradesh";"2023-03-21";"2023-03-21";1;"Yes";"Unknown"
"C00168";"Anita Sharma";"Retail";"Unknown";"Maharashtra";"2022-03-08";"2022-03-08";1;"Yes";"Unknown"
"C00169";"Pooja Bhat";"Retail";"Bangalore";"Karnataka";"2023-08-15";"2023-08-15";1;"No";"Bangalore"
"C00170";"Neha Patel";"Retail";"Lucknow";"Uttar Pradesh";"2019-12-27";"2019-12-27";1;"No";"Lucknow"
"C00171";"Deepa Rao";"Corporate";"Chennai";"Tamil Nadu";"2020-01-27";"2020-01-27";1;"No";"Chennai"
"C00172";"Leela Rao";"Corporate";"Ahmedabad";"Gujarat";"2021-05-02";"2021-05-02";1;"No";"Ahmedabad"
"C00173";"arjun verma";"Retail";"Nagpur";"Maharashtra";"2024-07-30";"2024-07-30";1;"No";"Nagpur"
"C00174";"Anita Patel";"Retail";"Mumbai";"Maharashtra";"2023-11-16";"2023-11-16";1;"No";"Mumbai"
"C00175";"Arjun Das";"Wholesale";"Mumbai";"Unknown";"2020-12-21";"2020-12-21";1;"No";"Mumbai"
"C00176";"Anita Sharma";"Retail";"Delhi";"Delhi";"2022-08-28";"2022-08-28";1;"No";"Delhi"
"C00177";"Pooja Joshi";"Wholesale";"Chennai";"Tamil Nadu";"2020-02-06";"2020-02-06";1;"No";"Chennai"
"C00178";"Neha Pillai";"Wholesale";"Chennai";"Tamil Nadu";"2019-08-11";"2019-08-11";1;"No";"Chennai"
"C00179";"Pooja Gupta";"Corporate";"Kolkata";"West Bengal";"2024-02-18";"2024-02-18";1;"No";"Kolkata"
"C00180";"Vijay Rao";"Retail";"Pune";"Maharashtra";"2019-09-02";"2019-09-02";1;"No";"Pune"
"C00181";"arjun gupta";"Wholesale";"Kolkata";"West Bengal";"2021-06-19";"2021-06-19";1;"No";"Kolkata"
"C00182";"deepa pandey";"Corporate";"Lucknow";"Uttar Pradesh";"2021-07-29";"2021-07-29";1;"No";"Lucknow"
"C00183";"Amit Pillai";"Wholesale";"Chennai";"Tamil Nadu";"2022-02-17";"2022-02-17";1;"No";"Chennai"
"C00184";"Ravi Pillai";"Retail";"Chennai";"Tamil Nadu";"2020-09-02";"2020-09-02";1;"No";"Chennai"
"C00185";"Arun Sharma";"Retail";"Mumbai";"Maharashtra";"2024-08-27";"2024-08-27";1;"No";"Mumbai"
"C00186";"Priya Pillai";"Wholesale";"Bhopal";"Madhya Pradesh";"2021-09-12";"2021-09-12";1;"No";"Bhopal"
"C00187";"Amit Mishra";"Corporate";"Bhopal";"Madhya Pradesh";"2023-01-08";"2023-01-08";1;"No";"Bhopal"
"C00188";"Deepa Mehta";"Retail";"Mumbai";"Maharashtra";"2024-02-25";"2024-02-25";1;"No";"Mumbai"
"C00189";"ARUN TIWARI";"Wholesale";"Kolkata";"West Bengal";"2023-07-19";"2023-07-19";1;"No";"Kolkata"
"C00190";"Anita Rao";"Corporate";"Unknown";"Maharashtra";"2023-04-26";"2023-04-26";1;"Yes";"Unknown"
"C00191";"SURESH CHAUHAN";"Wholesale";"Hyderabad";"Telangana";"2021-04-28";"2021-04-28";1;"No";"Hyderabad"
"C00192";"Amit Pandey";"Corporate";"Mumbai";"Maharashtra";"2023-01-30";"2023-01-30";1;"No";"Mumbai"
"C00193";"Priya Kumar";"Wholesale";"Unknown";"Uttar Pradesh";"2019-10-02";"2019-10-02";1;"Yes";"Unknown"
"C00194";"meera joshi";"Wholesale";"Chennai";"Tamil Nadu";"2021-05-09";"2021-05-09";1;"No";"Chennai"
"C00195";"Neha Das";"Wholesale";"Ahmedabad";"Gujarat";"2019-09-17";"2019-09-17";1;"No";"Ahmedabad"
"C00196";"Kavya Rao";"Corporate";"Ahmedabad";"Gujarat";"2024-12-18";"2024-12-18";1;"No";"Ahmedabad"
"C00197";"Meera Nair";"Wholesale";"Nagpur";"Maharashtra";"2019-09-26";"2019-09-26";1;"No";"Nagpur"
"C00198";"VIJAY MENON";"Wholesale";"Bangalore";"Karnataka";"2020-03-23";"2020-03-23";1;"No";"Bangalore"
"C00199";"anita reddy";"Retail";"Kolkata";"West Bengal";"2019-04-03";"2019-04-03";1;"No";"Kolkata"
"C00200";"Deepa Pillai";"Corporate";"Bangalore";"Karnataka";"2019-03-29";"2019-03-29";1;"No";"Bangalore"
"C00201";"DEEPA JOSHI";"Retail";"Ahmedabad";"Gujarat";"2022-11-05";"2022-11-05";1;"No";"Ahmedabad"
"C00202";"Suresh Bhat";"Corporate";"Ahmedabad";"Gujarat";"2022-05-30";"2022-05-30";1;"No";"Ahmedabad"
"C00203";"Arun Gupta";"Wholesale";"Bangalore";"Karnataka";"2023-03-04";"2023-03-04";1;"No";"Bangalore"
"C00204";"deepa verma";"Wholesale";"Kolkata";"West Bengal";"2020-10-20";"2020-10-20";1;"No";"Kolkata"
"C00205";"meera nair";"Retail";"Bhopal";"Madhya Pradesh";"2020-09-20";"2020-09-20";1;"No";"Bhopal"
"C00206";"anita mehta";"Wholesale";"Lucknow";"Uttar Pradesh";"2021-01-25";"2021-01-25";1;"No";"Lucknow"
"C00207";"Vijay Mishra";"Corporate";"Pune";"Maharashtra";"2024-01-11";"2024-01-11";1;"No";"Pune"
"C00208";"Meera Patel";"Retail";"Mumbai";"Maharashtra";"2020-08-18";"2020-08-18";1;"No";"Mumbai"
"C00209";"nitin das";"Corporate";"Ahmedabad";"Gujarat";"2022-04-25";"2022-04-25";1;"No";"Ahmedabad"
"C00210";"Swati Nair";"Corporate";"Nagpur";"Maharashtra";"2023-12-16";"2023-12-16";1;"No";"Nagpur"
"C00211";"Suresh Kumar";"Retail";"Bangalore";"Karnataka";"2019-04-12";"2019-04-12";1;"No";"Bangalore"
"C00212";"Manoj Pandey";"Wholesale";"Pune";"Unknown";"2021-03-10";"2021-03-10";1;"No";"Pune"
"C00213";"Arun Chauhan";"Wholesale";"Unknown";"Tamil Nadu";"2023-12-30";"2023-12-30";1;"Yes";"Unknown"
"C00214";"Amit Chauhan";"Wholesale";"Pune";"Maharashtra";"2019-08-18";"2019-08-18";1;"No";"Pune"
"C00215";"kavya iyer";"Wholesale";"Pune";"Unknown";"2022-11-13";"2022-11-13";1;"No";"Pune"
"C00216";"Kavya Nair";"Corporate";"Delhi";"Delhi";"2023-08-30";"2023-08-30";1;"No";"Delhi"
"C00217";"nitin nair";"Corporate";"Jaipur";"Rajasthan";"2019-12-19";"2019-12-19";1;"No";"Jaipur"
